token,lexema,log
,,programa
,,lista_decl
,,decl
,,decl_sub
RWORD,SUB,ok!
,,espec_tipo
RWORD,INT,ok!
ID,teste,ok!
OP_PA,(,ok!
,,params
OP_PF,),ok!
,,bloco
,,lista_com
,,comando
,,decl_var
RWORD,VAR,ok!
,,espec_tipo
RWORD,INT,ok!
,,lista_var
,,var_linha
ID,a,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,b,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,c,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,d,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,e,ok!
,,var
,,lista_var_linha
PV,;,ok!
,,com_escrita
RWORD,PRINT,ok!
OP_PA,(,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
STRING,"hello world",ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
CHAR,'t',ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,TRUE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,FALSE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,TRUE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,FALSE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
OP_PF,),ok!
PV,;,ok!
,,lista_com
,,comando
,,com_escrita
RWORD,PRINTLN,ok!
OP_PA,(,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
STRING,"hello world",ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
CHAR,'t',ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,TRUE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,FALSE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,TRUE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
RWORD,,,ok!
,,lista_exp
,,exp
,,exp_soma
,,exp_mult
,,exp_simples
,,literal
,,valor_verdade
RWORD,FALSE,ok!
,,exp_mult_linha
,,exp_soma_linha
,,exp_linha
,,lista_exp_linha
OP_PF,),ok!
PV,;,ok!
,,lista_com
,,comando
,,com_leitura
RWORD,SCAN,ok!
OP_PA,(,ok!
,,lista_var
,,var_linha
ID,a,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,b,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,c,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,d,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,e,ok!
,,var
,,lista_var_linha
OP_PF,),ok!
PV,;,ok!
,,lista_com
,,comando
,,com_leitura
RWORD,SCANLN,ok!
OP_PA,(,ok!
,,lista_var
,,var_linha
ID,a,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,b,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,c,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,d,ok!
,,var
,,lista_var_linha
RWORD,,,ok!
,,lista_var
,,var_linha
ID,e,ok!
,,var
,,lista_var_linha
OP_PF,),ok!
PV,;,ok!
,,lista_com
RWORD,END-SUB,ok!
,,programa
,,lista_decl
,,decl
,,decl_func
RWORD,FUNCTION,ok!
,,espec_tipo
RWORD,VOID,ok!
ID,main,ok!
OP_PA,(,ok!
,,params
,,lista_param
,,param
RWORD,VAR,ok!
,,espec_tipo
RWORD,INT,ok!
,,lista_var
,,var_linha
ID,argc,ok!
,,var
